ISBN|CIM|SZERZO|KIADO|AR
0070218668|The Big Book of Stress Relief Games|Robert Epstein|Mc Graw Hill|102
0070465010|Big Book of Presentation Games|Edward Scannell|Mc Graw Hill|92
0070465134|Big Book of Team Building Games|John Newstrom|Mc Graw Hill|104
007111128X|Introduction to Managerial Accounting|Brewer Garrison|Mc Graw Hill|183
0071214097|Business Communication Design|Pamela Angell|Mc Graw Hill|157
0071215727|Marketing: The Core|Kerin|Mc Graw Hill|179
007121674X|Contemporary Advertising||Mc Graw Hill|215
0071372342|Big Book of Motivation Games|Robert Epstein|Mc Graw Hill|83
0071422145|Advertising Media A-Z - Definitive Guide|Jim Surmanek|Mc Graw Hill|101
0071435271|Jack Welch on Leadership|Robert Slater|Mc Graw Hill|63
0072120487|Oracle Developer Advanced Forms|Peter Koletzke|Mc Graw Hill|110
0072123613|Ocp Dbo Certification Exam Guide||Prentice Hall|133
0072190493|Asp.net Programmer's Reference|Charles C. Caison|Mc Graw Hill|0
0072193794|C# Tips & Techniques|Charles Wright|Mc Graw Hill|0
0072225211|Oracle9i: The Complete Reference||Mc Graw Hill|0
0072230789|Oraclex Database 10g: A Beginner's Guide|Abramson|Idea Group|151
0078821681|The Official Guide to CoreIDRAW! 6 for Window|***|Mc Graw Hill|0
0078822009|Guide to Building High-Speed Netwarking|***|Prentice Hall|0
0078823218|Corel Photo-Paint7 - The Official Guide|***|Mc Graw Hill|0
0130112402|Mcse Implementing & Supporting Ms Sna Server 4.0|Javier   Mariscal|Prentice Hall|30
0130204315|Windows 2000 Device Driver Book (cd)||Prentice Hall|0
0130213438|Distributed Com Application Development  Using Visual Basic 6.0|Jim Maloney|Prentice Hall|90
0130254452|Effective Public Relations|Scott M. Cutlip|Prentice Hall|64
0130272760|Secure e-Commerce|Warwick Ford|Prentice Hall|150
0130320005|Essential Guide To Knowledge Management|Amrit Tiwana|Prentice Hall|0
0130325848|Oracle DBA Guide DataWarehousing and Star Sc|Bert Scalzo|Prentice Hall|108
0130328618|HP-UX Internals|Chris Cooper|Prentice Hall|188
0130328774|Kleppners Advertising  Procedure|J. Thomas Russel|Prentice Hall|71
0130352179|Guide to Interpersonal Communications|Baney|Pearson Education|21
0130352918|E-Business Marketing|Terri Albert, William Sanders|Prentice Hall|0
0130359149|Business Data Network Communications||Pearson Education|0
0130407763|Management: Principles & Practices|Betsy A. Myers|Prentice Hall|50
0130432431|International Accounting, 4ed|Frederick D. S. Choi|Pearson Education|66
0130471194|No Bus Not Show Bus|Bernd H. Schmitt|Financial Times|71
0130491756|Consumer Behaviour, 8ed|Leon G. Schiffman|Pearson Education|66
0130497150|Kotler: Marketing Management, 11ed|Philip Kotler|Prentice Hall|309
0130674494|Integrated Project Management|Earl Hall|Prentice Hall|147
0130850330|Programming Oracle - Triggers and Stored Procedures, 3ed|Kevin Owens|Prentice Hall|0
0130852562|Complete Core MCSE Training Kit|Tom Dell & Marine Leroux|Prentice Hall|50
0130944416|Financial Statements: Prnciples and Applications, 9ed|Keown Martin|Pearson Education|66
0130969729|Software Requirements Using Unified Process|Daniel R. Windle|Prentice Hall|247
0131014153|Linux on the Mainframe|John Eilert|Prentice Hall|134
0131044427|Management: Principles & Practices for Tomorrow Leaders, 3ed|Gary Dessler|Prentice Hall|59
013106052X|Integrated Advertising, Promotion, Marketing Communications, 2ed|Kenneth E. Clow|Prentice Hall|66
0131118293|Inside the Security Mind|Kevin Day|Prentice Hall|123
0131148788|Technically Write!, 6ed|Ron Blicq|Prentice Hall|76
0131202065|Advertising: Principles and Practices, 6ed|Wells Burnett|Prentice Hall|64
0131205404|Marketing Research and SPSS 11.0:(International Edition)|Alvin Burns ,ronald Bush|Prentice Hall|0
0131211900|Management: Traditional Approach/Balance Coverage|Stephen P Robbins, Mary Coulter|Prentice Hall|0
0131212761|Principles of Marketing:(International Edition)|Kotler, Armstrong|Pearson Education|0
0131214470|Modern Management, 9ed|Samuel C. Certo|Prentice Hall|64
0131219782|Marketing Research - An Applied  Orientation|Naresh K. Malhotra|Pearson Education|160
0131225472|Fundamentals of Management: Essential Concepts and Applications, 4ed|Stephen P. Robbins|Prentice Hall|66
013122784X|Knowledge Management|Ellias M. Awad|Prentice Hall|66
0131230093|Business Marketing Management|James C. Anderson|Prentice Hall|64
0131230107|Business Logistic/Supply Chain Management|Ronald H. Ballou|Prentice Hall|66
0131230174|International Business|Ricky W. Griffin|Prentice Hall|77
